target,model,seed,size,rmse,mae,r2,best_params,file
BACE1,xgboost,42,20,1.1845,0.9642,-0.0079,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-42_size-0.003592.txt
BACE1,xgboost,42,50,1.1617,0.9297,0.0305,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",regression_xgboost_seed-42_size-0.00898.txt
BACE1,xgboost,42,100,1.0541,0.8385,0.2018,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",regression_xgboost_seed-42_size-0.01796.txt
BACE1,xgboost,42,500,0.9786,0.7703,0.312,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",regression_xgboost_seed-42_size-0.089799.txt
BACE1,xgboost,123,10,1.3163,1.0855,-0.1909,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-123_size-0.001796.txt
BACE1,xgboost,123,20,1.2185,0.9807,-0.0204,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-123_size-0.003592.txt
BACE1,xgboost,123,50,1.1823,0.9282,0.0393,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-123_size-0.00898.txt
BACE1,xgboost,123,100,1.1042,0.8787,0.162,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-123_size-0.01796.txt
BACE1,xgboost,123,500,0.9746,0.7693,0.3472,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",regression_xgboost_seed-123_size-0.089799.txt
BACE1,xgboost,2137,10,1.3246,1.093,-0.2383,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",regression_xgboost_seed-2137_size-0.001796.txt
BACE1,xgboost,2137,20,1.1937,0.9645,-0.0056,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-2137_size-0.003592.txt
BACE1,xgboost,2137,50,1.0705,0.8522,0.1912,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",regression_xgboost_seed-2137_size-0.00898.txt
BACE1,xgboost,2137,100,1.0549,0.8396,0.2147,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-2137_size-0.01796.txt
BACE1,xgboost,2137,500,0.9789,0.7721,0.3238,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",regression_xgboost_seed-2137_size-0.089799.txt
TYK2,mlp,42,10,2.5541,2.0347,-3.3212,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",regression_mlp_seed-42_size-0.001676.txt
TYK2,mlp,42,20,2.4324,1.8885,-2.9193,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",regression_mlp_seed-42_size-0.003351.txt
TYK2,mlp,42,50,1.9991,1.6029,-1.6474,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",regression_mlp_seed-42_size-0.008378.txt
TYK2,mlp,42,100,1.9672,1.5643,-1.5633,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.016756.txt
TYK2,mlp,42,500,1.5206,1.188,-0.5317,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.08378.txt
TYK2,mlp,123,10,2.7734,2.1846,-4.1701,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",regression_mlp_seed-123_size-0.001676.txt
TYK2,mlp,123,20,2.7383,2.1592,-4.04,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",regression_mlp_seed-123_size-0.003351.txt
TYK2,mlp,123,50,2.1431,1.6883,-2.0871,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",regression_mlp_seed-123_size-0.008378.txt
TYK2,mlp,123,100,2.0884,1.6412,-1.9316,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",regression_mlp_seed-123_size-0.016756.txt
TYK2,mlp,123,500,1.5189,1.1997,-0.5506,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-123_size-0.08378.txt
TYK2,mlp,2137,10,3.4084,2.6755,-6.9734,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-2137_size-0.001676.txt
TYK2,mlp,2137,20,2.6937,2.1714,-3.9803,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",regression_mlp_seed-2137_size-0.003351.txt
TYK2,mlp,2137,50,2.363,1.8924,-2.8323,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",regression_mlp_seed-2137_size-0.008378.txt
TYK2,mlp,2137,100,2.3275,1.8359,-2.7181,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",regression_mlp_seed-2137_size-0.016756.txt
TYK2,mlp,2137,500,1.6132,1.2584,-0.7861,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",regression_mlp_seed-2137_size-0.08378.txt
TYK2,randomforest,42,10,1.199,1.0064,0.0477,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.001676.txt
TYK2,randomforest,42,20,1.1613,0.9283,0.1067,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.003351.txt
TYK2,randomforest,42,50,1.0769,0.8611,0.2318,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.008378.txt
TYK2,randomforest,42,100,1.0613,0.8421,0.2539,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.016756.txt
TYK2,randomforest,42,500,0.9493,0.7526,0.4031,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.08378.txt
TYK2,randomforest,123,10,1.1754,0.9664,0.0714,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.001676.txt
TYK2,randomforest,123,20,1.1738,0.9734,0.0739,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-123_size-0.003351.txt
TYK2,randomforest,123,50,1.0463,0.8422,0.2642,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.008378.txt
TYK2,randomforest,123,100,1.1227,0.9071,0.1528,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-123_size-0.016756.txt
TYK2,randomforest,123,500,0.921,0.7319,0.4299,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.08378.txt
TYK2,randomforest,2137,10,1.3646,1.1529,-0.2782,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-2137_size-0.001676.txt
TYK2,randomforest,2137,20,1.1458,0.9287,0.0989,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-2137_size-0.003351.txt
TYK2,randomforest,2137,50,1.1221,0.9028,0.1358,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-2137_size-0.008378.txt
TYK2,randomforest,2137,100,1.0868,0.8715,0.1894,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-2137_size-0.016756.txt
TYK2,randomforest,2137,500,0.9677,0.7711,0.3573,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-2137_size-0.08378.txt
TYK2,svm,42,10,1.1558,0.953,0.1151,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.001676.txt
TYK2,svm,42,20,1.1189,0.8942,0.1707,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.003351.txt
TYK2,svm,42,50,1.0537,0.8411,0.2645,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.008378.txt
TYK2,svm,42,100,1.0808,0.8472,0.2262,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.016756.txt
TYK2,svm,42,500,0.9522,0.7494,0.3994,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.08378.txt
TYK2,svm,123,10,1.1867,0.9641,0.0534,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.001676.txt
TYK2,svm,123,20,1.0876,0.878,0.2049,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.003351.txt
TYK2,svm,123,50,1.0582,0.8643,0.2474,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.008378.txt
TYK2,svm,123,100,1.0404,0.826,0.2724,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.016756.txt
TYK2,svm,123,500,0.8851,0.6881,0.4735,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.08378.txt
TYK2,svm,2137,10,1.4027,1.1835,-0.3505,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.001676.txt
TYK2,svm,2137,20,1.2116,0.9712,-0.0076,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.003351.txt
TYK2,svm,2137,50,1.1248,0.9021,0.1316,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.008378.txt
TYK2,svm,2137,100,1.0363,0.8199,0.2628,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.016756.txt
TYK2,svm,2137,500,0.9458,0.7386,0.3861,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.08378.txt
TYK2,xgboost,42,10,1.2433,1.033,-0.0239,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",regression_xgboost_seed-42_size-0.001676.txt
TYK2,xgboost,42,20,1.2466,1.0089,-0.0294,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",regression_xgboost_seed-42_size-0.003351.txt
TYK2,xgboost,42,50,1.1357,0.9152,0.1457,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",regression_xgboost_seed-42_size-0.008378.txt
TYK2,xgboost,42,100,1.0975,0.8751,0.2022,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",regression_xgboost_seed-42_size-0.016756.txt
