target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
TYK2,randomforest,42,50,0.7057,0.7831,0.6544,0.713,0.788,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-42_size-0.008378.txt
TYK2,randomforest,42,100,0.7891,0.8809,0.7198,0.7922,0.8752,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-42_size-0.016756.txt
TYK2,randomforest,42,500,0.8285,0.8845,0.797,0.8385,0.8927,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-42_size-0.08378.txt
TYK2,randomforest,123,10,0.6943,0.75,0.6417,0.6916,0.7787,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.001676.txt
TYK2,randomforest,123,20,0.6696,0.6414,0.8651,0.7367,0.8171,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.003351.txt
TYK2,randomforest,123,50,0.7082,0.7438,0.6921,0.717,0.7953,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.008378.txt
TYK2,randomforest,123,100,0.7853,0.8331,0.748,0.7882,0.8606,"{'max_depth': 10, 'n_estimators': 300}",classification_randomforest_seed-123_size-0.016756.txt
TYK2,randomforest,123,500,0.8515,0.892,0.8215,0.8553,0.9276,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.08378.txt
TYK2,randomforest,2137,10,0.4283,0.4315,0.9457,0.5926,0.5859,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-2137_size-0.001676.txt
TYK2,randomforest,2137,20,0.7658,0.837,0.5804,0.6855,0.8021,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-2137_size-0.003351.txt
TYK2,randomforest,2137,50,0.7266,0.6883,0.6913,0.6898,0.8067,"{'max_depth': 10, 'n_estimators': 100}",classification_randomforest_seed-2137_size-0.008378.txt
TYK2,randomforest,2137,100,0.7581,0.6942,0.8043,0.7452,0.8736,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-2137_size-0.016756.txt
