target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
TYK2,mlp,42,10,0.6036,0.6305,0.7013,0.664,0.6251,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",classification_mlp_seed-42_size-0.001676.txt
TYK2,mlp,42,20,0.5651,0.563,0.9899,0.7178,0.6691,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-42_size-0.003351.txt
TYK2,mlp,42,50,0.6682,0.7241,0.656,0.6884,0.7208,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",classification_mlp_seed-42_size-0.008378.txt
TYK2,mlp,42,100,0.5783,0.5745,0.9446,0.7145,0.7123,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-42_size-0.016756.txt
TYK2,mlp,42,500,0.6973,0.6691,0.906,0.7698,0.8259,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-42_size-0.08378.txt
TYK2,mlp,123,10,0.6317,0.681,0.5845,0.629,0.6714,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-123_size-0.001676.txt
TYK2,mlp,123,20,0.6361,0.6211,0.8174,0.7059,0.7113,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",classification_mlp_seed-123_size-0.003351.txt
TYK2,mlp,123,50,0.6186,0.6343,0.6757,0.6544,0.6632,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-123_size-0.008378.txt
TYK2,mlp,123,100,0.6441,0.6413,0.7575,0.6946,0.7149,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",classification_mlp_seed-123_size-0.016756.txt
TYK2,mlp,123,500,0.6951,0.6829,0.8011,0.7373,0.7809,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",classification_mlp_seed-123_size-0.08378.txt
TYK2,mlp,2137,10,0.4541,0.4452,0.9804,0.6124,0.5648,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",classification_mlp_seed-2137_size-0.001676.txt
TYK2,mlp,2137,20,0.6224,0.5631,0.6304,0.5949,0.6562,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",classification_mlp_seed-2137_size-0.003351.txt
TYK2,mlp,2137,50,0.4398,0.4381,0.9696,0.6035,0.6168,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-2137_size-0.008378.txt
TYK2,mlp,2137,100,0.4407,0.4402,1.0,0.6113,0.6859,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-2137_size-0.016756.txt
TYK2,mlp,2137,500,0.6941,0.6148,0.8152,0.7009,0.814,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",classification_mlp_seed-2137_size-0.08378.txt
TYK2,randomforest,42,10,0.537,0.6226,0.4346,0.5119,0.6057,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-42_size-0.001676.txt
TYK2,randomforest,42,20,0.6635,0.6927,0.7148,0.7036,0.7358,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-42_size-0.003351.txt
TYK2,randomforest,42,50,0.6823,0.7315,0.6812,0.7055,0.7654,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-42_size-0.008378.txt
TYK2,randomforest,42,100,0.6888,0.7548,0.656,0.702,0.7818,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.016756.txt
TYK2,randomforest,42,500,0.7516,0.7736,0.7852,0.7794,0.8356,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-42_size-0.08378.txt
TYK2,randomforest,123,10,0.6594,0.6873,0.6649,0.6759,0.73,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.001676.txt
TYK2,randomforest,123,20,0.6507,0.6411,0.7861,0.7062,0.7319,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.003351.txt
TYK2,randomforest,123,50,0.7016,0.7396,0.6812,0.7092,0.7632,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.008378.txt
TYK2,randomforest,123,100,0.6747,0.6648,0.7888,0.7215,0.7327,"{'max_depth': 10, 'n_estimators': 300}",classification_randomforest_seed-123_size-0.016756.txt
TYK2,randomforest,123,500,0.7518,0.7772,0.7507,0.7637,0.8369,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-123_size-0.08378.txt
