target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
BACE1,svm,2137,20,0.6636,0.4987,0.5984,0.544,0.7033,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-2137_size-0.003592.txt
BACE1,svm,2137,50,0.7123,0.5809,0.5097,0.543,0.7431,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-2137_size-0.00898.txt
BACE1,svm,2137,100,0.7474,0.6539,0.5242,0.5819,0.7798,"{'C': 10, 'kernel': 'rbf'}",classification_svm_seed-2137_size-0.01796.txt
BACE1,svm,2137,500,0.7604,0.6781,0.5435,0.6034,0.8024,"{'C': 10, 'kernel': 'rbf'}",classification_svm_seed-2137_size-0.089799.txt
BACE1,xgboost,42,10,0.6726,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-42_size-0.001796.txt
BACE1,xgboost,42,20,0.6222,0.4227,0.4202,0.4214,0.6076,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300}",classification_xgboost_seed-42_size-0.003592.txt
BACE1,xgboost,42,50,0.7037,0.5994,0.287,0.3881,0.709,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-42_size-0.00898.txt
BACE1,xgboost,42,100,0.7267,0.6423,0.3734,0.4722,0.7627,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-42_size-0.01796.txt
BACE1,xgboost,42,500,0.7579,0.6332,0.6193,0.6262,0.8108,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",classification_xgboost_seed-42_size-0.089799.txt
BACE1,xgboost,123,10,0.6708,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-123_size-0.001796.txt
BACE1,xgboost,123,20,0.6038,0.4298,0.6233,0.5088,0.6605,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300}",classification_xgboost_seed-123_size-0.003592.txt
BACE1,xgboost,123,50,0.6363,0.4565,0.5512,0.4994,0.6796,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300}",classification_xgboost_seed-123_size-0.00898.txt
BACE1,xgboost,123,100,0.6821,0.5194,0.4576,0.4866,0.6826,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",classification_xgboost_seed-123_size-0.01796.txt
BACE1,xgboost,123,500,0.7345,0.6224,0.4918,0.5494,0.7862,"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",classification_xgboost_seed-123_size-0.089799.txt
