"timestamp","feature","model","task","seed","size","status","seconds","output_file"
"2026-06-02 00:45:51","fingerprint","mlp","regression","2137","100","ok","502.3","results/downstream_regression/TYK2/regression_mlp_seed-2137_size-0.016756.txt"
"2026-06-02 00:59:16","fingerprint","mlp","regression","2137","500","ok","523.9","results/downstream_regression/TYK2/regression_mlp_seed-2137_size-0.08378.txt"
"2026-06-01 22:48:56","fingerprint","randomforest","classification","42","10","ok","2.8","results/downstream_classification/TYK2/classification_randomforest_seed-42_size-0.001676.txt"
"2026-06-01 22:52:16","fingerprint","randomforest","classification","42","20","ok","2.2","results/downstream_classification/TYK2/classification_randomforest_seed-42_size-0.003351.txt"
"2026-06-01 22:55:00","fingerprint","randomforest","classification","42","50","ok","1.1","results/downstream_classification/TYK2/classification_randomforest_seed-42_size-0.008378.txt"
"2026-06-01 23:02:48","fingerprint","randomforest","classification","42","100","ok","2.1","results/downstream_classification/TYK2/classification_randomforest_seed-42_size-0.016756.txt"
"2026-06-01 23:13:54","fingerprint","randomforest","classification","42","500","ok","2.8","results/downstream_classification/TYK2/classification_randomforest_seed-42_size-0.08378.txt"
"2026-06-01 23:34:00","fingerprint","randomforest","classification","123","10","ok","1.9","results/downstream_classification/TYK2/classification_randomforest_seed-123_size-0.001676.txt"
"2026-06-01 23:37:23","fingerprint","randomforest","classification","123","20","ok","0.9","results/downstream_classification/TYK2/classification_randomforest_seed-123_size-0.003351.txt"
"2026-06-01 23:42:36","fingerprint","randomforest","classification","123","50","ok","1.2","results/downstream_classification/TYK2/classification_randomforest_seed-123_size-0.008378.txt"
"2026-06-01 23:49:14","fingerprint","randomforest","classification","123","100","ok","2.2","results/downstream_classification/TYK2/classification_randomforest_seed-123_size-0.016756.txt"
"2026-06-01 23:58:07","fingerprint","randomforest","classification","123","500","ok","2.0","results/downstream_classification/TYK2/classification_randomforest_seed-123_size-0.08378.txt"
"2026-06-02 00:17:14","fingerprint","randomforest","classification","2137","10","ok","3.5","results/downstream_classification/TYK2/classification_randomforest_seed-2137_size-0.001676.txt"
"2026-06-02 00:22:55","fingerprint","randomforest","classification","2137","20","ok","2.5","results/downstream_classification/TYK2/classification_randomforest_seed-2137_size-0.003351.txt"
"2026-06-02 00:25:51","fingerprint","randomforest","classification","2137","50","ok","1.3","results/downstream_classification/TYK2/classification_randomforest_seed-2137_size-0.008378.txt"
"2026-06-02 00:33:16","fingerprint","randomforest","classification","2137","100","ok","2.2","results/downstream_classification/TYK2/classification_randomforest_seed-2137_size-0.016756.txt"
"2026-06-02 00:45:54","fingerprint","randomforest","classification","2137","500","ok","2.9","results/downstream_classification/TYK2/classification_randomforest_seed-2137_size-0.08378.txt"
